"temp","ph","oxig_dis","tds","turbidez","nitro_amoniacal","ion_nitrato","fecha_registro","id_Piscigranja","id"
"29.5","7.1","43","62","83","48","39","2023-06-06 12:21:33","1","1"
"29","7.7","45","60","80","48","35","2023-06-06 10:15:40","1","2"
"30","7.5","42","58","78","51","37","2023-06-06 10:15:40","1","3"
"20.1","7.3","48","68","81","43","37","2023-06-06 13:30:25","1","4"
"29","7.7","48","62","80","48","39","2023-06-06 15:40:07","1","5"
"22","6.8","41","53","65","77","76","2023-06-07 09:50:54","0","6"
"26","6.8","41","53","65","77","76","2023-06-07 17:10:11","0","7"
"15","6.8","35","53","65","77","76","2023-06-08 09:57:30","0","8"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:03:48","0","9"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:06:00","0","10"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:09:44","0","11"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:11:56","0","12"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:14:07","0","13"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:16:19","0","14"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:18:31","0","15"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:20:48","0","16"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:24:04","0","17"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:26:14","0","18"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:28:25","0","19"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:29:21","0","20"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:39:29","0","21"
"0.00","0.00","0.00","0.00","0.00","0.00","0.00","2023-06-08 11:41:40","0","22"
